ISSN	CategoryName
0749-8063	临床医学
0933-3657	临床医学
0269-2821	计算机科学
0004-3702	计算机科学
1064-5462	计算机科学
0160-564X	临床医学
0197-4556	精神病学与心理学
1058-2916	临床医学
0001-2491	工程学
0117-3375	生物学与生物化学
0964-7058	临床医学
0218-5385	社会科学总论
0217-5959	工程学
1008-682X	临床医学
1561-8625	工程学
1367-2223	精神病学与心理学
1225-9276	社会科学总论
0125-877X	免疫学
0004-4687	社会科学总论
1011-2367	植物学与动物学
1759-0914	神经系统学与行为学
1540-658X	药理学和毒理学
0144-5154	工程学
1073-1911	精神病学与心理学
1040-0435	临床医学
0303-1179	数学
1531-1074	空间科学
0004-6256	空间科学
0004-6337	空间科学
1432-0746	空间科学
1366-8781	空间科学
0935-4956	空间科学
1063-7737	空间科学
1063-7729	空间科学
0927-6505	空间科学
0067-0049	空间科学
0004-637X	空间科学
0004-640X	空间科学
0571-7256	空间科学
0921-7134	数学
1863-8171	数学
0178-2312	工程学
1567-5688	临床医学
0021-9150	临床医学
0261-1929	植物学与动物学
0843-5561	地球科学
0187-6236	地球科学
0705-5900	地球科学
1680-7316	地球科学
1352-2310	地球科学
0169-8095	地球科学
0092-640X	物理学
1063-4258	工程学
0195-5373	化学
1044-5110	工程学
1461-6734	精神病学与心理学
1431-5254	工程学
1420-3030	临床医学
0278-0380	经济与商业
0004-8038	植物学与动物学
0385-8146	临床医学
1442-9985	环境科学与生态学
0004-8380	临床医学
1440-6381	社会科学总论
0158-9938	分子生物学与遗传学
0815-3191	植物学与动物学
0004-8666	临床医学
1369-1473	数学
0004-8658	社会科学总论
0004-8674	精神病学与心理学
1326-0200	社会科学总论
0312-2417	社会科学总论
0045-0421	临床医学
0004-8992	经济与商业
0004-900X	经济与商业
0311-6999	社会科学总论
0816-4649	社会科学总论
0004-9158	植物学与动物学
0004-9182	社会科学总论
1364-985X	经济与商业
0067-1924	植物学与动物学
0004-9425	化学
0812-0099	地球科学
0004-9441	社会科学总论
1322-7130	农业科学
1035-7718	社会科学总论
0312-8962	经济与商业
1036-1146	社会科学总论
0004-9522	社会科学总论
0004-9530	精神病学与心理学
0313-6647	社会科学总论
0157-6321	社会科学总论
0004-959X	植物学与动物学
0310-0049	植物学与动物学
0005-0067	精神病学与心理学
1030-1887	植物学与动物学
0005-0423	植物学与动物学
1362-3613	精神病学与心理学
1568-9972	免疫学
0891-6934	免疫学
0005-1098	工程学
0005-1179	工程学
0926-5805	工程学
1566-0702	神经系统学与行为学
1387-2532	计算机科学
0929-5593	工程学
0005-2086	植物学与动物学
0307-9457	植物学与动物学
0001-3072	经济与商业
1012-8255	经济与商业
1876-2859	临床医学
1941-6520	经济与商业
1537-260X	经济与商业
1558-9080	经济与商业
0898-9621	临床医学
0951-3574	经济与商业
2194-6051	经济与商业
0963-9284	经济与商业
0155-9982	经济与商业
0888-7993	经济与商业
1911-382X	经济与商业
1030-9616	经济与商业
0810-5391	经济与商业
1492-9732	社会科学总论
1839-2571	物理学
1585-1923	社会科学总论
1726-569X	社会科学总论
1742-7061	材料科学
0102-3306	植物学与动物学
0187-7151	植物学与动物学
1011-6842	临床医学
0001-5415	临床医学
0102-8650	临床医学
0353-9466	临床医学
2053-2733	化学
2052-5206	化学
2053-2296	化学
2053-230X	分子生物学与遗传学
1330-027X	临床医学
1841-0987	临床医学
0351-6083	临床医学
2213-5812	地球科学
1214-9705	地球科学
1581-6613	地球科学
****-****	地球科学
1854-0171	工程学
1861-1125	地球科学
1827-9635	植物学与动物学
1318-0185	社会科学总论
1216-8076	社会科学总论
0168-9673	数学
0125-9326	临床医学
0393-6384	临床医学
1646-0758	临床医学
1006-7191	材料科学
0798-4545	生物学与生物化学
1335-1788	地球科学
2075-8251	分子生物学与遗传学
2051-5960	生物学与生物化学
0001-6462	临床医学
1017-995X	临床医学
1745-3674	临床医学
1413-7852	临床医学
0392-100X	临床医学
0103-2100	临床医学
0186-2391	临床医学
2211-3835	药理学和毒理学
1748-1708	生物学与生物化学
